,mjd,dm,width,bw,peakf,fluence,E
332,58727.922446544006,566.3,4.84,0.4,14.873,0.072,7.7099999999999995e+37
333,58727.92244656401,566.1,7.42,0.05,61.72,0.458,4.902e+38
334,58727.923685152,563.2,4.04,0.24,17.38,0.0703,7.521e+37
335,58727.923993102,566.0,3.04,0.255,20.589,0.0626,6.698e+37
336,58727.923993118,565.8,3.28,0.05,65.66,0.2154,2.305e+38
337,58727.925970166,561.0,4.0,0.17,7.464,0.0298,3.194e+37
338,58727.928556763,562.8,3.78,0.1,92.52,0.3497,3.744e+38
339,58727.938197202006,566.0,4.55,0.175,12.284,0.0559,5.982e+37
340,58727.940379082,566.0,3.7,0.2,25.45,0.0942,1.008e+38
341,58727.940379098,567.0,4.36,0.1,100.11,0.4365,4.672e+38
342,58727.945932552,564.5,8.95,0.07,7.819,0.07,7.494e+37
343,58727.948012392,566.0,2.73,0.36,226.473,0.6185,6.621e+38
344,58727.949899198,564.5,5.3,0.4,18.051,0.0957,1.0249999999999999e+38
345,58727.950393162995,566.0,3.05,0.165,17.19,0.0524,5.613999999999999e+37
346,58727.953778655996,564.5,3.15,0.102,7.222,0.0227,2.432e+37
347,58727.962349377005,566.0,4.1,0.133,15.512,0.0636,6.809e+37
348,58727.962709384,569.0,4.03,0.105,14.443,0.0582,6.235e+37
349,58727.962766806,567.6,5.46,0.11,9.888,0.054,5.78e+37
350,58727.963493087,566.0,4.04,0.27,12.365,0.05,5.347999999999999e+37
351,58727.96396568901,566.0,3.13,0.21,12.591,0.0394,4.213e+37
352,58727.964838323,552.4,7.35,0.175,4.82,0.0354,3.791e+37
353,58727.965134923,566.0,4.37,0.13,10.409,0.0455,4.869e+37
354,58727.970677638,562.8,4.89,0.4,120.39,0.5887,6.3019999999999995e+38
355,58727.970677717,562.5,4.76,0.4,123.4,0.5874,6.288e+38
356,58727.970677788,566.0,9.84,0.37,21.424,0.2108,2.257e+38
357,58727.970677815996,563.7,6.96,0.4,58.35,0.4061,4.347000000000001e+38
